Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
680000,30 Kanimbla Street,KATOOMBA,NSW,2780,2,1,1,1088,3
680000,6 Pinnata Street,WOODFORD,NSW,2778,4,1,2,776,3
700000,16 Highview Avenue,FAULCONBRIDGE,NSW,2776,4,3,2,696,3
689000,96 Glossop Road,LINDEN,NSW,2778,3,2,2,670,3
654000,32 Durali Avenue,WINMALEE,NSW,2777,3,1,1,961,3
650000,22 Bonnie View Avenue,HAZELBROOK,NSW,2779,3,1,1,740,3
645000,2 Fitzgerald Street,WENTWORTH FALLS,NSW,2782,3,1,1,703,3
629000,21 Cunningham Street,HAZELBROOK,NSW,2779,3,1,1,1222,3
634000,18 Roger Crescent,MOUNT RIVERVIEW,NSW,2774,3,1,1,689,3
615000,38 Second Avenue,KATOOMBA,NSW,2780,3,1,1,1012,3
575000,50 Fitzgerald Street,KATOOMBA,NSW,2780,2,1,2,607,3
595000,164 Station Street,BLACKHEATH,NSW,2785,3,2,3,1100,3
562500,17 Thompson Street,LAWSON,NSW,2783,3,1,1,780,3
565000,1 Railway Parade,BULLABURRA,NSW,2784,3,1,1,834,3
542500,80 Burns Road,SPRINGWOOD,NSW,2777,3,1,1,765,3
529950,47 Sayers Street,LAWSON,NSW,2783,3,1,2,1220,3
669000,1 Evans Parade,LAPSTONE,NSW,2773,3,1,1,700,3
595000,26 Gladstone Road,LEURA,NSW,2780,2,1,1,1216,0
610000,242 Bathurst Road,KATOOMBA,NSW,2780,3,1,0,379,3
537500,37 Mort Street,KATOOMBA,NSW,2780,2,1,2,626,3
535000,79 Railway Parade,BULLABURRA,NSW,2784,2,1,1,727,3
495000,6 Brougham Street,KATOOMBA,NSW,2780,0,0,1,940,0
495000,77 Cascade Street,KATOOMBA,NSW,2780,0,0,1,760,0
505000,18 Stuarts  Road,KATOOMBA,NSW,2780,0,0,1,2992,0
495000, ,,,,0,0,0,788,0
500000,31 & 32/101 Winbourne Road,HAZELBROOK,NSW,2779,0,0,0,18100,0
470000, ,,,,0,0,0,21500,0
449000,Lots 32-35 Cascade Street,LAWSON,NSW,2783,1,0,0,4767,0
625000,39 Bunbinla Avenue,MOUNT RIVERVIEW,NSW,2774,3,1,0,581,3
517500,23 Palmer Crescent,BLACKHEATH,NSW,2785,3,1,2,556,3
405000,1/4 Echo Point Road,KATOOMBA,NSW,2780,2,1,1,16,1
249000,110 Kent Street,BULLABURRA,NSW,2784,0,0,4,21036,0
870000,49 St Johns Road,BLAXLAND,NSW,2774,4,3,3,703,3
860000,4 Sunland Crescent,MOUNT RIVERVIEW,NSW,2774,4,2,4,721,3
839000,1/11 Hope,BLAXLAND,NSW,2774,4,2,1,530,3
825000,3 Fern Street,KATOOMBA,NSW,2780,5,2,5,720,3
815000,2/18 Layton Avenue,BLAXLAND,NSW,2774,4,2,2,800,3
824000,10 Wattlecliffe Drive,BLAXLAND,NSW,2774,5,2,2,527,3
835500,68 Blaxland Road,WENTWORTH FALLS,NSW,2782,2,2,1,1300,3
810000,20 Grand View Drive,MOUNT RIVERVIEW,NSW,2774,4,3,1,721,3
815000,8 The High Road,BLAXLAND,NSW,2774,3,2,4,771,3
805000,9 Dawn Crescent,MOUNT RIVERVIEW,NSW,2774,4,2,2,777,3
810000,10 Parr Parade,FAULCONBRIDGE,NSW,2776,5,3,1,878,3
790000,60 Rusden Road,BLAXLAND,NSW,2774,4,2,6,702,3
770000,5 Fifth Avenue,KATOOMBA,NSW,2780,4,2,2,1159,4
765000,24 David Street,WENTWORTH FALLS,NSW,2782,3,2,2,695,3
775000,21 Mary Street,LAWSON,NSW,2783,4,1,1,1296,3
740000,1 Bunbinla Avenue,MOUNT RIVERVIEW,NSW,2774,5,2,2,784,3
759000,18 Alderton Avenue,SPRINGWOOD,NSW,2777,3,1,1,1853,3
739000,1 Saunders Road,WOODFORD,NSW,2778,4,2,2,1119,3
740000,6 Kingsway,HAZELBROOK,NSW,2779,5,2,2,879,3
749000,194 Great Western Highway,BLAXLAND,NSW,2774,4,2,1,1107,3
720000,16 Sutton Street,WOODFORD,NSW,2778,4,2,1,1579,3
700000,26 Stephen Street,KATOOMBA,NSW,2780,2,2,2,947,3
699000,287 and 289 Great Western Highway,LAWSON,NSW,2783,0,0,1,422,0
699000,281 Katoomba Street,KATOOMBA,NSW,2780,0,0,1,737,0
725000,76 Evans Lookout Road,BLACKHEATH,NSW,2785,4,2,1,836,3
400000,111 Great Western Highway,WOODFORD,NSW,2778,0,0,2,3097,0
420000,51 Sublime Point Road,LEURA,NSW,2780,0,0,2,1492,0
399000,Lots 1-4 Blaxland Street,LAWSON,NSW,2783,0,0,0,4767,0
399000,36 Kalinda Road,BULLABURRA,NSW,2784,0,0,0,830,0
385000,19 Seiberi Cl,BLACKHEATH,NSW,2785,0,0,1,1628,0
395000,25 Sandbox Road,WENTWORTH FALLS,NSW,2782,0,0,3,2353,0
