Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
"$500,000 - $530,000",256 Govetts Leap Rd,BLACKHEATH,NSW,2785,2,1,1,667m²,House
"$490,000 - $520,000",313 Great Western Hwy,WENTWORTH FALLS,NSW,2782,3,1,1,654m²,House
"$475,000 ",2/37 Paris Parade,KATOOMBA,NSW,2780,3,1,1,304m²,Villa
"$430,000 - $450,000",1/20 Dora Street,KATOOMBA,NSW,2780,2,1,2,,Villa
"$410,000 - $430,000",5/322-324 Katoomba St,KATOOMBA,NSW,2780,2,1,1,,Townhouse
Contact Agent,Unit 3/114 Waratah St,KATOOMBA,NSW,2780,1,1,1,105m²,Apartment / Unit / Flat
"$395,000 - $430,000",5/251 Katoomba Street,KATOOMBA,NSW,2780,2,1,1,,Apartment / Unit / Flat
"$354,950 ",12/20-22 Honour Avenue,LAWSON,NSW,2783,2,1,1,,Apartment / Unit / Flat
"$850,000 - $910,000",66 Fitzgerald Street,KATOOMBA,NSW,2780,4,2,2,607m²,House
"$850,000 - $890,000",9-19 Hay Lane,MOUNT WILSON,NSW,2786,3,2,3,1.38ha,House
"$810,000 ",306 Leura Mall,LEURA,NSW,2780,3,1,2,617m²,House
"$799,000 to $849,000",41 Lawson View Parade,WENTWORTH FALLS,NSW,2782,4,2,2,"1,164m²",House
"$760,000 - $790,000",100 Megalong Street,LEURA,NSW,2780,2,1,1,836m²,House
"$750,000 - $810,000",23 West Street,KATOOMBA,NSW,2780,5,2,4,"1,103m²",House
"$749,950 - $779,950",52 Russell Avenue,VALLEY HEIGHTS,NSW,2777,3,2,,"1,151m²",House
"$730,000 - $760,000",170 Great Western Highway,BLAXLAND,NSW,2774,4,2,4,923m²,House
"$720,000 ",8 Brook Street,HAZELBROOK,NSW,2779,4,2,1,695m²,House
"$700,000 to $770,000",1 Goodare Street,BLACKHEATH,NSW,2785,3,1,4,,House
Expressions Of Interest,46 Green Parade,VALLEY HEIGHTS,NSW,2777,5,2,1,"2,915m²",House
"$640,000 ",19 Brook Street,HAZELBROOK,NSW,2779,3,1,1,"1,327m²",House
"$500,000 to $550,000",8 Birdwood Parade,HAZELBROOK,NSW,2779,3,2,1,835m²,House
"$850,000 - $890,000",88 Ross Crescent,BLAXLAND,NSW,2774,4,3,1,"4,648m²",House
"$849,000 ",21 Mona  Road,WOODFORD,NSW,2778,4,3,1,"1,239m²",House
"$800,000 - $850,000",22 Central Street,WENTWORTH FALLS,NSW,2782,4,2,1,"1,271m²",House
"Offers Between $800,000 and $880,000",19 Sutton Street,WOODFORD,NSW,2778,3,2,2,951m²,House
"$790,000 - $820,000",44 Bass Road,WENTWORTH FALLS,NSW,2782,4,2,2,835m²,House
"$770,000 - $810,000",29 Yester Road,WENTWORTH FALLS,NSW,2782,4,2,2,836m²,House
"$775,000 to $825,000",42 Boronia Road,BULLABURRA,NSW,2784,4,2,2,"2,378m²",House
"$750,000 to $800,000",34 Christabel Street,LAWSON,NSW,2783,3,2,2,"1,302m²",House
"$750,000 ",68a Great Western Highway,WOODFORD,NSW,2778,2,2,,"1,018m²",House
"$740,000 - $790,000",14 Central Street,WENTWORTH FALLS,NSW,2782,3,1,1,858m²,House
"$739,000-$779,000",629 Great Western Highway,FAULCONBRIDGE,NSW,2776,4,1,1,"1,606m²",House
"699,950",56 -68 Stephen Street,LAWSON,NSW,2783,2,1,2,"15,514m²",House
"$695,000 - $725,000",313 Hawkesbury Road,WINMALEE,NSW,2777,4,1,1,735m²,House
"$680,000 ",30 Kanimbla Street,KATOOMBA,NSW,2780,2,1,1,"1,088m²",House
"$680,000 ",6 Pinnata Street,WOODFORD,NSW,2778,4,1,2,776m²,House
"$680,000 - $720,000",16 Highview Avenue,FAULCONBRIDGE,NSW,2776,4,3,2,696m²,House
"$669,000-$709,000",96 Glossop Road,LINDEN,NSW,2778,3,2,2,670m²,House
"$639,000 - $669,000",32 Durali Avenue,WINMALEE,NSW,2777,3,1,1,961m²,House
"$630,000 - $670,000",22 Bonnie View Avenue,HAZELBROOK,NSW,2779,3,1,1,740m²,House
"$630,000 - $660,000",2 Fitzgerald Street,WENTWORTH FALLS,NSW,2782,3,1,1,703m²,House
"$629,000 ",21 Cunningham Street,HAZELBROOK,NSW,2779,3,1,1,"1,222m²",House
"$619,000 - $649,000",18 Roger Crescent,MOUNT RIVERVIEW,NSW,2774,3,1,1,689m²,House
"$600,000 - $630,000",38 Second Avenue,KATOOMBA,NSW,2780,3,1,1,"1,012m²",House
"$560,000-$590,000",50 Fitzgerald Street,KATOOMBA,NSW,2780,2,1,2,607m²,House
"$595,000 ",164 Station Street,BLACKHEATH,NSW,2785,3,2,3,"1,100m²",House
"Offers Between $550,000 to $575,000",17 Thompson Street,LAWSON,NSW,2783,3,1,1,780m²,House
"$550,000 - $580,000",1 Railway Parade,BULLABURRA,NSW,2784,3,1,1,834m²,House
"$535,000 - $550,000",80 Burns Road,SPRINGWOOD,NSW,2777,3,1,,765m²,House
"$529,950 ",47 Sayers Street,LAWSON,NSW,2783,3,1,,"1,220m²",House
UNDER OFFER,39 Cascade Street,KATOOMBA,NSW,2780,3,1,,295m²,House
The Latest,32 Catherine Crescent,BLAXLAND,NSW,2774,4,2,4,"1,184m²",House
"$649,000 - $689,000",1 Evans Parade,LAPSTONE,NSW,2773,3,1,1,700m²,House
"$630,000 - $660,000",2/113 Great Western Highway,BLAXLAND,NSW,2774,3,1,1,,Retirement Living
"$595,000 ",26 Gladstone Road,LEURA,NSW,2780,,,,"1,216m²",Vacant land
"$595,000 - $625,000",242 Bathurst Road,KATOOMBA,NSW,2780,3,1,,379m²,House
"$589,000 ",5/3 Wascoe Street,LEURA,NSW,2780,3,2,1,,New House & Land
"$525,000 - $550,000",37 Mort Street,KATOOMBA,NSW,2780,2,1,2,626m²,House
"$520,000 - $550,000",79 Railway Parade,BULLABURRA,NSW,2784,2,1,1,727m²,House
"$490,000 - $520,000",Lot 5/168 Hawkesbury Road,SPRINGWOOD,NSW,2777,,,,,
"$495,000 ",29-30/100 Leura Mall,LEURA,NSW,2780,2,2,2,,Apartment / Unit / Flat
"$495,000 ",6 Brougham Street,KATOOMBA,NSW,2780,,,,940m²,Vacant land
"$495,000 ",77 Cascade Street,KATOOMBA,NSW,2780,,,,760m²,Vacant land
"$490,000 - $520,000",18 Stuarts  Road,KATOOMBA,NSW,2780,,,,"2,992m²",Vacant land
"$480,000 to $510,000", ,,,,,,,788m²,Vacant land
"$480,000 - $520,000",31 & 32/101 Winbourne Road,HAZELBROOK,NSW,2779,,,,1.81ha,Vacant land
"$460,000 to $480,000", ,,,,,,,"21,500m²",Vacant land
Contact Agent,25 Explorers Road,KATOOMBA,NSW,2780,,,,"7,341m²",Vacant land
"$450,000 - $495,000",59 Highland Street,LEURA,NSW,2780,,,,,
"$449,000 ",Lots 32-35 Cascade Street,LAWSON,NSW,2783,,,,"4,767m²",Vacant land
"$450,000 ",37 Chapman Avenue,LINDEN,NSW,2778,,1,,,Vacant land
"$620,000 - $660,000",11/5 Wascoe Street,LEURA,NSW,2780,3,2,1,,Townhouse
"$610,000 - $640,000",39 Bunbinla Avenue,MOUNT RIVERVIEW,NSW,2774,3,1,,581m²,House
Contact Agent,9 Dora Street,KATOOMBA,NSW,2780,2,1,1,"1,063m²",House
UNDER CONTRACT,25 Glendarrah Street,HAZELBROOK,NSW,2779,3,2,1,,House
Contact Agent,8 Great Western  Highway,LEURA,NSW,2780,2,2,1,,New Apartments / Off the Plan
"$520,000 - $560,000",6/8 Great Western  Highway,LEURA,NSW,2780,2,2,1,,New Apartments / Off the Plan
"$550,000 ",1/11 Cale Lane,WENTWORTH FALLS,NSW,2782,2,1,1,,Retirement Living
"$545,000 ",1/101 Megalong Street,LEURA,NSW,2780,2,2,1,,Townhouse
"17 x 2 Bed, 2 Bath Apartments from $525,000",Unit 6/8 Great Western Highway,LEURA,NSW,2780,2,2,1,,New Apartments / Off the Plan
"$510,000 - $525,000",23 Palmer Crescent,BLACKHEATH,NSW,2785,3,1,2,556m²,House
"Price Guide: $430,000 - $450,000",5/2-6a Great Western Highway,LEURA,NSW,2780,2,1,1,,Apartment / Unit / Flat
"$405,000 ",1/4 Echo Point Road,KATOOMBA,NSW,2780,2,1,1,16m²,Apartment / Unit / Flat
"$249,000 ",110 Kent Street,BULLABURRA,NSW,2784,,,,"21,036m²",Vacant land
"$125,000 - $130,000",79/413 Hawkesbury Rd,WINMALEE,NSW,2777,,1,1,,Apartment / Unit / Flat
"$850,000 - $890,000",49 St Johns Road,BLAXLAND,NSW,2774,4,3,3,703m²,House
"$840,000-$880,000",4 Sunland Crescent,MOUNT RIVERVIEW,NSW,2774,4,2,4,721m²,House
"$839,000 ",1/11 Hope,BLAXLAND,NSW,2774,4,2,1,530m²,House
"$825,000 ",3 Fern Street,KATOOMBA,NSW,2780,5,2,5,720m²,House
"$815,000 ",2/18 Layton Avenue,BLAXLAND,NSW,2774,4,2,2,800m²,House
"$799,000 - $849,000",10 Wattlecliffe Drive,BLAXLAND,NSW,2774,5,2,2,527m²,House
"$796,000 - $875,000",68 Blaxland Road,WENTWORTH FALLS,NSW,2782,2,2,1,"1,300m²",House
"$790,000 - $830,000",20 Grand View Drive,MOUNT RIVERVIEW,NSW,2774,4,3,1,721m²,House
"$790,000 to $840,000",8 The High Road,BLAXLAND,NSW,2774,3,2,4,771m²,House
"$790,000 - $820,000",9 Dawn Crescent,MOUNT RIVERVIEW,NSW,2774,4,2,2,777m²,House
"$790,000 - $830,000",10 Parr Parade,FAULCONBRIDGE,NSW,2776,5,3,1,878m²,House
"$790,000 ",60 Rusden Road,BLAXLAND,NSW,2774,4,2,6,702m²,House
"$770,000 ",5 Fifth Avenue,KATOOMBA,NSW,2780,4,2,2,"1,159m²",New House & Land
"$750,000 - $780,000",24 David Street,WENTWORTH FALLS,NSW,2782,3,2,2,695m²,House
Contact Agent,4/36 King Street,GLENBROOK,NSW,2773,3,2,1,,Townhouse
"$750,000 to $800,000",21 Mary Street,LAWSON,NSW,2783,4,1,1,"1,296m²",House
"$740,000 ",1 Bunbinla Avenue,MOUNT RIVERVIEW,NSW,2774,5,2,2,784m²,House
"$739,000-$779,000",18 Alderton Avenue,SPRINGWOOD,NSW,2777,3,1,1,"1,853m²",House
"$739,000 ",1 Saunders Road,WOODFORD,NSW,2778,4,2,2,"1,119m²",House
"$730,000 - $750,000",6 Kingsway,HAZELBROOK,NSW,2779,5,2,2,879m²,House
"$729,000 - $769,000",194 Great Western Highway,BLAXLAND,NSW,2774,4,2,1,"1,107m²",House
"$720,000 ",16 Sutton Street,WOODFORD,NSW,2778,4,2,1,"1,579m²",House
"$700,000 ",26 Stephen Street,KATOOMBA,NSW,2780,2,2,2,947m²,House
"$699,000 ",287 and 289 Great Western Highway,LAWSON,NSW,2783,,,,422m²,Vacant land
"$699,000 ",281 Katoomba Street,KATOOMBA,NSW,2780,,,,737m²,Vacant land
"$695,000 - $755,000",76 Evans Lookout Road,BLACKHEATH,NSW,2785,4,2,1,836m²,House
"$400,000 ",111 Great Western Highway,WOODFORD,NSW,2778,,,,"3,097m²",Vacant land
"$400,000 - $440,000",51 Sublime Point Road,LEURA,NSW,2780,,,,"1,492m²",Vacant land
"$399,000 ",Lots 1-4 Blaxland Street,LAWSON,NSW,2783,,,,"4,767m²",Vacant land
"$399,000 ",36 Kalinda Road,BULLABURRA,NSW,2784,,,,830m²,Vacant land
"$385,000 ",19 Seiberi Cl,BLACKHEATH,NSW,2785,,,,"1,628m²",Vacant land
"$395,000 ",25 Sandbox Road,WENTWORTH FALLS,NSW,2782,,,,"2,353m²",Vacant land
"$385,000 ",238 Connaught Rd,BLACKHEATH,NSW,2785,,,,"4,047m²",Vacant land
"$375,000 ",10 Lomandra Place,KATOOMBA,NSW,2780,,,,"1,260m²",Vacant land
"$360,000 ",143 Burrawang Street,KATOOMBA,NSW,2780,,,,"1,328m²",Vacant land
"$360,000 - $395,000",24-48 Addington Road,HAZELBROOK,NSW,2779,,,,2ha,Vacant land
"$350,000 - $385,000",1a Murray Street,LEURA,NSW,2780,,,,670m²,Vacant land
"$350,000 to $370,000",25 Tusculum Rd,VALLEY HEIGHTS,NSW,2777,,,,"1,169m²",Vacant land
"$350,000 to $370,000",26 Tusculum Rd,VALLEY HEIGHTS,NSW,2777,,,,"1,035m²",Vacant land
"$369,000 - $399,000",18 Martin Place,FAULCONBRIDGE,NSW,2776,,,,"2,904m²",Vacant land
"$350,000 ",7 Forbes Road,HAZELBROOK,NSW,2779,,,,"4,679m²",Vacant land
"$345,000 ",13 Clarence Street,LEURA,NSW,2780,,,,739m²,Vacant land
"$345,000 - $365,000",221 Hat Hill Road,BLACKHEATH,NSW,2785,,,,644m²,Vacant land
UNDER CONTRACT/OFFER,14 Colville Road,YELLOW ROCK,NSW,2777,,,,696m²,Vacant land
"$330,000  $360,000",69 Valley View Road,DARGAN,NSW,2786,,,,1.37ha,Vacant land
"$330,000 ",5B Riches Avenue,WOODFORD,NSW,2778,,,,3.01ha,Vacant land
"$329,000 - $359,000",254 Great Western Highway,WARRIMOO,NSW,2774,,,,466m²,Vacant land
"$320,000 ",54 Rawson Parade,LEURA,NSW,2780,,,,791m²,Vacant land
"$320,000 - $330,000",105 Tableland Road,WENTWORTH FALLS,NSW,2782,,,,"1,341m²",Vacant land
"$300,000 - $330,000",89 Stuarts Road,KATOOMBA,NSW,2780,,,,"1,219m²",Vacant land
"$299,950 ",Lot 12/3 Werona Street,LAWSON,NSW,2783,,,,"1,057m²",Vacant land
"$299,950 ",40 Great Western Highway,WENTWORTH FALLS,NSW,2782,,,,682m²,Vacant land
"$299,000 ",34 Mount View Avenue,HAZELBROOK,NSW,2779,,,,"1,035m²",Vacant land
